Nom Officiel Département,Code Officiel Commune,Nom Officiel Commune,population,latitude,longitude
Gard,30325,Sumène,1291.0,43.95,3.75
Gard,30342,Vénéjan,1264.0,44.25,4.649994
Gard,30349,Vic-le-Fesq,571.0,43.85,4.050003
Haute-Garonne,31027,Auribail,196.0,43.35,1.3500061
Haute-Garonne,31029,Aurin,343.0,43.55,1.6499939
Haute-Garonne,31051,Beaufort,476.0,43.45,1.1499939
Haute-Garonne,31060,Bélesta-en-Lauragais,110.0,43.45,1.8500061
Haute-Garonne,31067,Bezins-Garraux,43.0,42.95,0.75
Haute-Garonne,31083,Boussan,233.0,43.25,0.8500061
Haute-Garonne,31087,Bragayrac,319.0,43.45,1.050003
Haute-Garonne,31088,Brax,2885.0,43.65,1.25
Haute-Garonne,31181,Le Fauga,2262.0,43.45,1.25
Haute-Garonne,31185,Folcarde,116.0,43.45,1.75
Haute-Garonne,31233,Grépiac,1008.0,43.45,1.449997
Haute-Garonne,31244,Juzet-de-Luchon,375.0,42.85,0.6499939
Charente,16397,Verdille,389.0,45.85,-0.049987793
Charente,16413,Villiers-le-Roux,147.0,46.05,0.1499939
Charente-Maritime,17002,Agudelle,134.0,45.35,-0.4500122
Charente-Maritime,17007,Anais,316.0,46.15,-0.9500122
Charente-Maritime,17034,Barzan,464.0,45.55,-0.8499756
Charente-Maritime,17037,Beauvais-sur-Matha,653.0,45.85,-0.15002441
Charente-Maritime,17107,Ciré-d'Aunis,1538.0,46.05,-0.9500122
Charente-Maritime,17165,Fontenet,392.0,45.95,-0.4500122
Charente-Maritime,17212,Louzignac,171.0,45.85,-0.25
Charente-Maritime,17268,Nuaillé-sur-Boutonne,189.0,46.05,-0.4500122
Charente-Maritime,17274,Périgny,8741.0,46.15,-1.0499878
Charente-Maritime,17313,Saint-Bris-des-Bois,386.0,45.75,-0.4500122
Charente-Maritime,17397,Saint-Savinien,2453.0,45.85,-0.6500244
Charente-Maritime,17451,Les Touches-de-Périgny,544.0,45.95,-0.25
Charente-Maritime,17459,Varaize,558.0,45.95,-0.4500122
Cher,18013,Arpheuilles,299.0,46.75,2.550003
Cher,18043,La Celle-Condé,193.0,46.75,2.149994
Cher,18089,Épineuil-le-Fleuriel,438.0,46.55,2.550003
Cher,18155,Mornay-sur-Allier,422.0,46.85,3.050003
Cher,18159,Nançay,787.0,47.35,2.149994
Cher,18237,Sainte-Thorette,475.0,47.05,2.25
Cher,18248,Senneçay,459.0,46.95,2.449997
Cher,18255,Le Subdray,979.0,47.05,2.350006
Cher,18267,Trouy,4005.0,47.05,2.350006
Corrèze,19040,Champagnac-la-Prune,149.0,45.15,1.949997
Corrèze,19090,Gumond,97.0,45.25,1.949997
Corrèze,19099,Lagleygeolle,223.0,45.05,1.75
Corrèze,19141,Monestier-Merlines,282.0,45.65,2.449997
Corrèze,19167,Confolent-Port-Dieu,41.0,45.55,2.550003
Corrèze,19169,Puy-d'Arnac,292.0,45.05,1.75
Corrèze,19201,Saint-Exupéry-les-Roches,592.0,45.55,2.350006
Corrèze,19204,Saint-Fréjoux,263.0,45.55,2.350006
Alpes-de-Haute-Provence,04206,Sigonce,422.0,44.05,5.850006
Hautes-Alpes,05108,Puy-Saint-Eusèbe,185.0,44.55,6.449997
Alpes-Maritimes,06060,Falicon,2111.0,43.75,7.25
Meuse,55028,Bantheville,106.0,49.35,5.050003
Meuse,55070,Brabant-sur-Meuse,117.0,49.25,5.350006
Meuse,55127,Courcelles-en-Barrois,45.0,48.85,5.449997
Meuse,55141,Dagonville,84.0,48.75,5.350006
Meuse,55183,Étraye,37.0,49.35,5.350006
Meuse,55198,Fresnes-en-Woëvre,663.0,49.05,5.649994
Meuse,55206,Gercourt-et-Drillancourt,115.0,49.25,5.25
Meuse,55257,Jouy-en-Argonne,48.0,49.15,5.25
Meuse,55313,Malancourt,69.0,49.25,5.149994
Meuse,55324,Marville,518.0,49.45,5.449997
Meuse,55404,Pierrefitte-sur-Aire,313.0,48.95,5.350006
Meuse,55522,Ugny-sur-Meuse,110.0,48.65,5.649994
Meuse,55545,Verdun,16689.0,49.15,5.350006
Meuse,55562,Villers-le-Sec,127.0,48.65,5.25
Morbihan,56058,Férel,3404.0,47.45,-2.3499756
Morbihan,56073,Guémené-sur-Scorff,1097.0,48.05,-3.25
Morbihan,56075,Guer,6068.0,47.95,-2.1500244
Morbihan,56100,Langonnet,1771.0,48.15,-3.4500122
Morbihan,56197,Val d'Oust,2790.0,47.85,-2.4500122
Morbihan,56216,Saint-Gorgon,414.0,47.65,-2.25
Morbihan,56221,Saint-Jacut-les-Pins,1734.0,47.65,-2.25
Morbihan,56263,Sainte-Anne-d'Auray,2827.0,47.75,-2.9500122
Moselle,57059,Bellange,55.0,48.95,6.550003
Moselle,57070,Bettange,246.0,49.25,6.449997
Moselle,57073,Betting,861.0,49.15,6.850006
Moselle,57133,Château-Voué,100.0,48.85,6.649994
Moselle,57168,Danne-et-Quatre-Vents,673.0,48.75,7.25
Moselle,57181,Domnom-lès-Dieuze,91.0,48.85,6.850006
Moselle,57211,Fèves,1203.0,49.15,6.149994
Moselle,57236,Frémery,88.0,48.95,6.449997
Moselle,57239,Freybouse,435.0,49.05,6.75
Moselle,57255,Gosselming,569.0,48.75,6.949997
Moselle,57273,Guerstling,376.0,49.35,6.550003
Moselle,57315,Henridorff,707.0,48.75,7.25
Moselle,57339,Hultehouse,364.0,48.75,7.25
Moselle,57360,Kerbach,1215.0,49.15,6.949997
Moselle,57367,Klang,216.0,49.35,6.350006
Moselle,57372,Kuntzig,1362.0,49.35,6.25
Moselle,57377,Landange,244.0,48.65,6.949997
Moselle,57379,Landroff,271.0,48.95,6.649994
Moselle,57383,Languimberg,156.0,48.75,6.850006
Moselle,57403,Liéhon,130.0,48.95,6.25
Moselle,57447,Marly,9971.0,49.05,6.149994
Moselle,57448,Marsal,239.0,48.75,6.649994
Moselle,57467,Mey,309.0,49.15,6.25
Moselle,57512,Nouilly,720.0,49.15,6.25
Moselle,57557,Puttelange-lès-Thionville,1017.0,49.45,6.25
Moselle,57563,Raville,253.0,49.05,6.449997
Moselle,57599,Roupeldange,349.0,49.25,6.449997
Moselle,57726,Vittoncourt,386.0,49.05,6.449997
Moselle,57728,Voimhaut,258.0,49.05,6.449997
Nièvre,58005,Amazy,219.0,47.35,3.550003
Nièvre,58021,Azy-le-Vif,201.0,46.75,3.25
Nièvre,58046,Cercy-la-Tour,1685.0,46.85,3.649994
Nièvre,58049,Chalaux,83.0,47.35,3.949997
Nièvre,58088,Coulanges-lès-Nevers,3693.0,47.05,3.25
Nièvre,58095,Decize,5152.0,46.85,3.449997
Nièvre,58164,Mesves-sur-Loire,657.0,47.25,3.050003
Nièvre,58178,Montigny-sur-Canne,154.0,46.95,3.649994
Nièvre,58237,Saint-Didier,29.0,47.35,3.649994
Nord,59032,Aulnoy-lez-Valenciennes,7183.0,50.35,3.550003
Nord,59033,Aulnoye-Aymeries,8756.0,50.25,3.850006
Nord,59074,Bertry,2148.0,50.05,3.449997
Nord,59077,Bettrechies,258.0,50.35,3.75
Nord,59101,Bousignies-sur-Roc,376.0,50.25,4.149994
Nord,59106,Bouvines,755.0,50.55,3.149994
Nord,59123,Camphin-en-Carembault,1714.0,50.55,2.949997
Nord,59165,Cuincy,6472.0,50.35,3.050003
Nord,59207,Escautpont,4152.0,50.45,3.550003
Nord,59267,Gonnelieu,289.0,50.05,3.149994
Nord,59350,Lille,236710.0,50.65,3.050003
Nord,59387,Marquette-en-Ostrevant,1931.0,50.25,3.25
Nord,59409,Monchecourt,2501.0,50.35,3.25
Nord,59418,Mortagne-du-Nord,1584.0,50.55,3.449997
Nord,59435,Nomain,2585.0,50.55,3.25
Nord,59448,Oost-Cappel,472.0,50.95,2.550003
Nord,59478,Quaëdypre,1121.0,50.95,2.449997
Nord,59481,Le Quesnoy,4852.0,50.25,3.649994
Nord,59485,Quiévy,1801.0,50.15,3.449997
Nord,59516,Rubrouck,919.0,50.85,2.350006
Nord,59521,Sailly-lez-Cambrai,422.0,50.25,3.149994
Nord,59526,Saint-Amand-les-Eaux,15980.0,50.45,3.449997
Nord,59596,Tilloy-lez-Marchiennes,528.0,50.45,3.350006
Nord,59614,Viesly,1379.0,50.15,3.449997
Nord,59649,Wattignies-la-Victoire,241.0,50.25,4.050003
Oise,60041,Bailleul-sur-Thérain,2323.0,49.35,2.25
Oise,60056,Beaurepaire,65.0,49.25,2.550003
Oise,60060,Belle-Église,690.0,49.15,2.25
Oise,60091,Bouillancy,422.0,49.15,2.949997
Oise,60120,Cambronne-lès-Clermont,1211.0,49.35,2.350006
Oise,60153,Choqueuse-les-Bénards,102.0,49.65,2.050003
Oise,60168,Courcelles-Epayelles,214.0,49.55,2.649994
Oise,60237,Fléchy,87.0,49.65,2.25
Oise,60261,Fresnoy-le-Luat,542.0,49.25,2.75
Oise,60443,Muirancourt,586.0,49.65,3.050003
Oise,60528,Reilly,120.0,49.25,1.8500061
Oise,60540,Rivecourt,625.0,49.35,2.75
Oise,60564,Sains-Morainvillers,285.0,49.55,2.449997
