,Nom Officiel Département,Code Officiel Commune,Nom Officiel Commune,population,latitude,longitude,is_prefecture,is_sous_prefecture
99,Drôme,26358,Upie,1524.0,44.85,4.949997,False,False
100,Eure,27052,Le Bec-Hellouin,390.0,49.25,0.75,False,False
101,Eure,27115,Breux-sur-Avre,334.0,48.75,1.050003,False,False
102,Eure,27117,Broglie,1000.0,49.05,0.55000305,False,False
103,Eure,27138,Chamblac,372.0,48.95,0.55000305,False,False
104,Eure,27157,Marbois,1308.0,48.85,0.94999695,False,False
105,Eure,27194,Cuverville,249.0,49.25,1.3500061,False,False
106,Eure,27200,Dardez,137.0,49.05,1.25,False,False
107,Eure,27215,Ecquetot,388.0,49.15,1.050003,False,False
108,Eure,27228,Éturqueraye,304.0,49.35,0.6499939,False,False
109,Eure,27251,Fontaine-l'Abbé,557.0,49.05,0.6499939,False,False
110,Eure,27304,Guerny,158.0,49.25,1.6499939,False,False
111,Eure,27397,Ménilles,1738.0,49.05,1.3500061,False,False
112,Eure,27447,Le Val-Doré,885.0,48.95,0.94999695,False,False
113,Eure,27488,Renneville,199.0,49.45,1.3500061,False,False
114,Eure,27540,Sainte-Geneviève-lès-Gasny,654.0,49.05,1.550003,False,False
115,Eure,27663,Le Troncq,168.0,49.15,0.94999695,False,False
116,Eure-et-Loir,28032,Beauvilliers,344.0,48.35,1.6499939,False,False
117,Eure-et-Loir,28076,La Chapelle-Forainvilliers,202.0,48.75,1.449997,False,False
118,Eure-et-Loir,28079,Chapelle-Royale,308.0,48.15,1.050003,False,False
119,Ain,01045,Birieux,284.0,45.95,5.050003,False,False
120,Ain,01057,Boz,510.0,46.45,4.949997,False,False
121,Ain,01083,Chaneins,1003.0,46.05,4.850006,False,False
122,Ain,01092,Châtillon-la-Palud,1649.0,45.95,5.25,False,False
123,Ain,01115,Confrançon,1348.0,46.25,5.050003,False,False
124,Ain,01135,Crozet,2288.0,46.25,6.050003,False,False
125,Ain,01152,Échallon,765.0,46.25,5.75,False,False
126,Ain,01212,Lescheroux,714.0,46.45,5.149994,False,False
127,Ain,01224,Loyettes,3381.0,45.75,5.25,False,False
128,Ain,01255,Montagnieu,666.0,45.85,5.449997,False,False
129,Ain,01263,Montmerle-sur-Saône,3792.0,46.05,4.75,False,False
130,Ain,01437,Vescours,219.0,46.45,5.050003,False,False
131,Ain,01448,Villes,400.0,46.05,5.75,False,False
132,Aisne,02014,Amigny-Rouy,716.0,49.65,3.25,False,False
133,Aisne,02032,Aubigny-aux-Kaisnes,247.0,49.75,3.149994,False,False
134,Aisne,02157,Chambry,832.0,49.55,3.649994,False,False
135,Aisne,02173,Chauny,11496.0,49.65,3.25,False,False
136,Aisne,02223,Courboin,302.0,49.05,3.550003,False,False
137,Aisne,02233,Cramaille,139.0,49.25,3.449997,False,False
138,Aisne,02240,Croix-Fonsomme,192.0,49.95,3.350006,False,False
139,Aisne,02309,Festieux,695.0,49.55,3.75,False,False
140,Aisne,02311,Filain,119.0,49.45,3.550003,False,False
141,Aisne,02363,Guny,368.0,49.55,3.25,False,False
142,Aisne,02369,Harcigny,243.0,49.85,3.949997,False,False
143,Aisne,02380,Hinacourt,27.0,49.75,3.25,False,False
144,Aisne,02426,Levergies,541.0,49.95,3.350006,False,False
145,Aisne,02433,Lislet,221.0,49.65,4.050003,False,False
146,Aisne,02446,Ly-Fontaine,118.0,49.75,3.350006,False,False
147,Aisne,02501,Montchâlons,85.0,49.55,3.75,False,False
148,Aisne,02573,Orgeval,55.0,49.55,3.75,False,False
149,Aisne,02588,Pargnan,66.0,49.35,3.75,False,False
150,Aisne,02624,Proisy,273.0,49.85,3.75,False,False
151,Aisne,02667,Saconin-et-Breuil,197.0,49.35,3.25,False,False
152,Aisne,02699,Saponay,273.0,49.25,3.449997,False,False
153,Aisne,02709,Serain,400.0,50.05,3.350006,False,False
154,Aisne,02723,Soize,96.0,49.75,4.050003,False,False
155,Aisne,02744,Torcy-en-Valois,74.0,49.05,3.25,False,False
156,Aisne,02814,Villers-lès-Guise,163.0,49.95,3.649994,False,False
157,Aisne,02826,Voulpaix,348.0,49.85,3.850006,False,False
158,Allier,03068,Châtelus,108.0,46.25,3.75,False,False
159,Allier,03088,Courçais,313.0,46.45,2.449997,False,False
160,Allier,03099,Deux-Chaises,384.0,46.35,3.050003,False,False
161,Allier,03129,Hyds,304.0,46.25,2.850006,False,False
162,Allier,03138,Lapalisse,3137.0,46.25,3.649994,False,False
163,Allier,03142,Lenax,242.0,46.35,3.850006,False,False
